Frequency [Hz],"Amp_0[dB] 
(P = 0.020 [mbar])","Amp_1[dB] 
(P = 0.020 [mbar])","Amp_2[dB] 
(P = 0.020 [mbar])"
2461000000.0,-79.6,-79.7,-79.6
2462000000.0,-79.6,-79.8,-79.5
2463000000.0,-79.6,-79.7,-79.8
2464000000.0,-79.7,-79.8,-79.7
2465000000.0,-79.6,-79.6,-79.5
2466000000.0,-79.4,-79.6,-79.6
2467000000.0,-79.7,-79.3,-79.5
2468000000.0,-79.4,-79.3,-79.5
2469000000.0,-79.2,-79.1,-79.3
2470000000.0,-79.1,-79.2,-79.2
2471000000.0,-78.9,-79.0,-78.9
2472000000.0,-78.9,-78.9,-78.7
2473000000.0,-78.6,-78.7,-78.7
2474000000.0,-78.7,-78.6,-78.6
2475000000.0,-78.2,-78.3,-78.3
2476000000.0,-78.1,-78.0,-78.1
2477000000.0,-77.9,-77.9,-77.9
2478000000.0,-77.7,-77.7,-77.5
2479000000.0,-77.6,-77.5,-77.6
2480000000.0,-77.3,-77.3,-77.3
2481000000.0,-77.2,-77.0,-77.3
2482000000.0,-76.9,-76.8,-76.8
2483000000.0,-76.5,-76.7,-76.6
2484000000.0,-76.5,-76.4,-76.4
2485000000.0,-76.2,-76.3,-76.2
2486000000.0,-75.9,-75.9,-76.0
2487000000.0,-75.7,-75.5,-75.9
2488000000.0,-75.4,-75.6,-75.5
2489000000.0,-75.2,-75.2,-75.3
2490000000.0,-75.1,-75.0,-75.1
2491000000.0,-75.0,-74.8,-74.7
2492000000.0,-74.7,-74.5,-74.7
2493000000.0,-74.4,-74.5,-74.5
2494000000.0,-74.2,-74.2,-74.2
2495000000.0,-73.9,-74.0,-73.9
2496000000.0,-73.8,-73.8,-73.9
2497000000.0,-73.9,-73.7,-73.7
2498000000.0,-73.6,-73.6,-73.5
2499000000.0,-73.4,-73.4,-73.4
2500000000.0,-73.9,-73.7,-73.8
2501000000.0,-73.8,-73.6,-73.6
2502000000.0,-73.8,-73.8,-73.7
2503000000.0,-73.6,-73.7,-73.7
2504000000.0,-73.6,-73.6,-73.6
2505000000.0,-73.6,-73.6,-73.8
2506000000.0,-73.7,-73.7,-73.8
2507000000.0,-73.7,-73.7,-73.7
2508000000.0,-73.9,-73.7,-74.0
2509000000.0,-73.8,-73.9,-74.1
2510000000.0,-74.1,-74.0,-74.0
2511000000.0,-74.2,-74.2,-74.1
2512000000.0,-74.3,-74.2,-74.3
2513000000.0,-74.4,-74.4,-74.5
2514000000.0,-74.6,-74.6,-74.8
2515000000.0,-74.9,-74.8,-74.9
2516000000.0,-75.2,-75.0,-75.2
2517000000.0,-75.2,-75.3,-75.3
2518000000.0,-75.4,-75.5,-75.5
2519000000.0,-75.8,-75.9,-75.9
2520000000.0,-76.1,-76.1,-76.0
2521000000.0,-76.3,-76.2,-76.1
2522000000.0,-76.4,-76.4,-76.6
2523000000.0,-76.7,-76.6,-76.6
2524000000.0,-76.9,-77.0,-77.0
2525000000.0,-77.3,-77.3,-77.2
2526000000.0,-77.4,-77.4,-77.4
2527000000.0,-77.4,-77.6,-77.6
2528000000.0,-77.7,-77.7,-77.9
2529000000.0,-77.8,-77.8,-78.0
2530000000.0,-78.0,-78.2,-78.3
2531000000.0,-78.0,-78.3,-78.1
2532000000.0,-78.3,-78.3,-78.1
2533000000.0,-78.6,-78.5,-78.4
2534000000.0,-78.5,-78.6,-78.5
2535000000.0,-78.6,-78.6,-78.7
2536000000.0,-78.6,-78.7,-78.7
2537000000.0,-78.5,-78.7,-78.6
2538000000.0,-78.7,-78.6,-78.8
2539000000.0,-78.5,-78.7,-78.6
2540000000.0,-78.6,-78.6,-78.5
2541000000.0,-78.6,-78.6,-78.6
